year;month;aspect_class;elev_class;lc_class;median_LST_C
2003;1;North;900-1300m;Cropland;13.79
2003;1;East;900-1300m;Cropland;13.95
2003;1;South;900-1300m;Cropland;16.85
2003;1;West;900-1300m;Cropland;12.81
2003;1;Flat;900-1300m;Cropland;14.53511807
2003;1;North;900-1300m;Barren_Sparse_Vegetation;13.37
2003;1;East;900-1300m;Barren_Sparse_Vegetation;15.1
2003;1;South;900-1300m;Barren_Sparse_Vegetation;17.06
2003;1;West;900-1300m;Barren_Sparse_Vegetation;16.05
2003;1;Flat;900-1300m;Barren_Sparse_Vegetation;13.81
2003;1;North;900-1300m;Grassland;14.23
2003;1;East;900-1300m;Grassland;14.82666667
2003;1;South;900-1300m;Grassland;14.7
2003;1;West;900-1300m;Grassland;13.97333333
2003;1;Flat;900-1300m;Grassland;13.39736842
2003;1;North;900-1300m;Shrubland_Savanna;14.18
2003;1;East;900-1300m;Shrubland_Savanna;14.79
2003;1;South;900-1300m;Shrubland_Savanna;14.57
2003;1;West;900-1300m;Shrubland_Savanna;12.75
2003;1;Flat;900-1300m;Shrubland_Savanna;13.91
2003;1;North;900-1300m;Urban;16.47
2003;1;South;900-1300m;Urban;17.31
2003;1;West;900-1300m;Urban;16.49
2003;1;Flat;900-1300m;Urban;16.41
2003;1;North;1300-1700m;Cropland;11.11
2003;1;West;1300-1700m;Cropland;13.05
2003;1;Flat;1300-1700m;Cropland;11.01
2003;1;North;1300-1700m;Grassland;13.81
2003;1;East;1300-1700m;Grassland;14.63
2003;1;South;1300-1700m;Grassland;15.07
2003;1;West;1300-1700m;Grassland;14.38
2003;1;Flat;1300-1700m;Grassland;13.8
2003;1;North;1300-1700m;Shrubland_Savanna;11.87
2003;1;East;1300-1700m;Shrubland_Savanna;12.65
2003;1;West;1300-1700m;Shrubland_Savanna;11.17
2003;1;Flat;1300-1700m;Shrubland_Savanna;12.07
2003;2;North;900-1300m;Cropland;12.85
2003;2;East;900-1300m;Cropland;13.43
2003;2;Flat;900-1300m;Cropland;13.35333333
2003;2;East;900-1300m;Barren_Sparse_Vegetation;13.89
2003;2;South;900-1300m;Barren_Sparse_Vegetation;14.07
2003;2;West;900-1300m;Barren_Sparse_Vegetation;12.67
2003;2;Flat;900-1300m;Barren_Sparse_Vegetation;11.405
2003;2;North;900-1300m;Grassland;14.27
2003;2;East;900-1300m;Grassland;12.75
2003;2;South;900-1300m;Grassland;14.09
2003;2;West;900-1300m;Grassland;14.49
2003;2;Flat;900-1300m;Grassland;13.34666667
2003;2;North;900-1300m;Shrubland_Savanna;12.19
2003;2;East;900-1300m;Shrubland_Savanna;12.59
2003;2;Flat;900-1300m;Shrubland_Savanna;12.23
2003;2;Flat;900-1300m;Urban;14.23
2003;2;North;1300-1700m;Grassland;12.97
2003;2;East;1300-1700m;Grassland;11.84
2003;2;West;1300-1700m;Grassland;13.85
2003;3;North;900-1300m;Cropland;26.91
2003;3;East;900-1300m;Cropland;31.15
2003;3;South;900-1300m;Cropland;31.23
2003;3;West;900-1300m;Cropland;30.695
2003;3;Flat;900-1300m;Cropland;27.60671739
2003;3;North;900-1300m;Barren_Sparse_Vegetation;32.47
2003;3;East;900-1300m;Barren_Sparse_Vegetation;26.81
2003;3;South;900-1300m;Barren_Sparse_Vegetation;29.96
2003;3;West;900-1300m;Barren_Sparse_Vegetation;28.65
2003;3;Flat;900-1300m;Barren_Sparse_Vegetation;26.112
2003;3;North;900-1300m;Grassland;28.444
2003;3;East;900-1300m;Grassland;27.42666667
2003;3;South;900-1300m;Grassland;29.62
2003;3;West;900-1300m;Grassland;30.285
2003;3;Flat;900-1300m;Grassland;27.85990689
2003;3;North;900-1300m;Shrubland_Savanna;23.97
2003;3;East;900-1300m;Shrubland_Savanna;22.78
2003;3;South;900-1300m;Shrubland_Savanna;26.93
2003;3;West;900-1300m;Shrubland_Savanna;13.34
2003;3;Flat;900-1300m;Shrubland_Savanna;13.58618068
2003;3;North;900-1300m;Urban;28.15
2003;3;South;900-1300m;Urban;27.39
2003;3;West;900-1300m;Urban;24.425
2003;3;Flat;900-1300m;Urban;26.37
2003;3;North;1300-1700m;Cropland;23.63
2003;3;East;1300-1700m;Cropland;29.85
2003;3;South;1300-1700m;Cropland;29.19
2003;3;West;1300-1700m;Cropland;30.93
2003;3;Flat;1300-1700m;Cropland;29.51
2003;3;North;1300-1700m;Grassland;27.95
2003;3;East;1300-1700m;Grassland;28.35
2003;3;South;1300-1700m;Grassland;27.05
2003;3;West;1300-1700m;Grassland;26.11
2003;3;Flat;1300-1700m;Grassland;18.89
2003;3;North;1300-1700m;Shrubland_Savanna;19.97
2003;4;North;900-1300m;Cropland;33.25
2003;4;East;900-1300m;Cropland;33.53
2003;4;South;900-1300m;Cropland;34.2825
2003;4;West;900-1300m;Cropland;34.03714286
2003;4;Flat;900-1300m;Cropland;32.14872166
2003;4;North;900-1300m;Barren_Sparse_Vegetation;33.37
2003;4;East;900-1300m;Barren_Sparse_Vegetation;32.39
2003;4;South;900-1300m;Barren_Sparse_Vegetation;35.45
2003;4;West;900-1300m;Barren_Sparse_Vegetation;34.31
2003;4;Flat;900-1300m;Barren_Sparse_Vegetation;32.44427148
2003;4;North;900-1300m;Grassland;32.41333333
2003;4;East;900-1300m;Grassland;31.59666667
2003;4;South;900-1300m;Grassland;33.44333333
2003;4;West;900-1300m;Grassland;33.945
2003;4;Flat;900-1300m;Grassland;32.57049985
2003;4;North;900-1300m;Shrubland_Savanna;30.35
2003;4;East;900-1300m;Shrubland_Savanna;30.86
2003;4;South;900-1300m;Shrubland_Savanna;30.13
2003;4;West;900-1300m;Shrubland_Savanna;30.35
2003;4;Flat;900-1300m;Shrubland_Savanna;31.715
2003;4;North;900-1300m;Urban;33.49
2003;4;South;900-1300m;Urban;29.85
2003;4;West;900-1300m;Urban;34.77
2003;4;Flat;900-1300m;Urban;31.63
2003;4;North;1300-1700m;Cropland;31.3
2003;4;East;1300-1700m;Cropland;28.41
2003;4;South;1300-1700m;Cropland;32.61
2003;4;West;1300-1700m;Cropland;31.69
2003;4;Flat;1300-1700m;Cropland;34.39
2003;4;North;1300-1700m;Grassland;29.25
2003;4;East;1300-1700m;Grassland;28.45
2003;4;South;1300-1700m;Grassland;33.93
2003;4;West;1300-1700m;Grassland;30.84333333
2003;4;Flat;1300-1700m;Grassland;27.17
2003;4;North;1300-1700m;Shrubland_Savanna;26.16
2003;4;East;1300-1700m;Shrubland_Savanna;27.35
2003;4;South;1300-1700m;Shrubland_Savanna;25.66
2003;4;West;1300-1700m;Shrubland_Savanna;25.43
2003;4;Flat;1300-1700m;Shrubland_Savanna;26.63
2003;4;North;1700-2100m;Cropland;28.15
2003;4;East;1700-2100m;Cropland;28.71
2003;4;West;1700-2100m;Cropland;26.62
2003;4;North;1700-2100m;Grassland;25.97
2003;4;East;1700-2100m;Grassland;25.21
2003;4;South;1700-2100m;Grassland;29.19
2003;4;West;1700-2100m;Grassland;26.79
2003;4;Flat;1700-2100m;Grassland;25.44
2003;5;North;900-1300m;Cropland;40.89333333
2003;5;East;900-1300m;Cropland;40.88
2003;5;South;900-1300m;Cropland;42.285
2003;5;West;900-1300m;Cropland;41.86
2003;5;Flat;900-1300m;Cropland;39.81496957
2003;5;North;900-1300m;Barren_Sparse_Vegetation;44.29
2003;5;East;900-1300m;Barren_Sparse_Vegetation;41.31
2003;5;South;900-1300m;Barren_Sparse_Vegetation;46
2003;5;West;900-1300m;Barren_Sparse_Vegetation;45.42
2003;5;Flat;900-1300m;Barren_Sparse_Vegetation;42.55897663
2003;5;North;900-1300m;Grassland;42.48
2003;5;East;900-1300m;Grassland;41.0245571
2003;5;South;900-1300m;Grassland;42.59
2003;5;West;900-1300m;Grassland;43.28555556
2003;5;Flat;900-1300m;Grassland;41.93729134
2003;5;North;900-1300m;Shrubland_Savanna;39.99
2003;5;East;900-1300m;Shrubland_Savanna;39.87
2003;5;South;900-1300m;Shrubland_Savanna;42.25
2003;5;West;900-1300m;Shrubland_Savanna;39.81
2003;5;Flat;900-1300m;Shrubland_Savanna;40.644
2003;5;North;900-1300m;Urban;43.48
2003;5;South;900-1300m;Urban;44.38
2003;5;West;900-1300m;Urban;43.18
2003;5;Flat;900-1300m;Urban;41.53
2003;5;North;1300-1700m;Cropland;37.49
2003;5;East;1300-1700m;Cropland;34.21
2003;5;South;1300-1700m;Cropland;39.37
2003;5;West;1300-1700m;Cropland;39.85
2003;5;Flat;1300-1700m;Cropland;38.44
2003;5;North;1300-1700m;Grassland;38.71
2003;5;East;1300-1700m;Grassland;38.91
2003;5;South;1300-1700m;Grassland;40.19666667
2003;5;West;1300-1700m;Grassland;38.73
2003;5;Flat;1300-1700m;Grassland;40.2
2003;5;North;1300-1700m;Shrubland_Savanna;37.67
2003;5;East;1300-1700m;Shrubland_Savanna;38.45
2003;5;South;1300-1700m;Shrubland_Savanna;37.37
2003;5;West;1300-1700m;Shrubland_Savanna;38.13
2003;5;Flat;1300-1700m;Shrubland_Savanna;38.33
2003;5;North;1700-2100m;Cropland;34.55
2003;5;East;1700-2100m;Cropland;38.41
2003;5;West;1700-2100m;Cropland;40.02
2003;5;North;1700-2100m;Grassland;34.37
2003;5;East;1700-2100m;Grassland;34.96
2003;5;South;1700-2100m;Grassland;35.27
2003;5;West;1700-2100m;Grassland;36.51
2003;5;Flat;1700-2100m;Grassland;33.99
2003;5;North;2100-2500m;Grassland;29.97
2003;5;East;2100-2500m;Grassland;28.85
2003;5;South;2100-2500m;Grassland;36.05
2003;5;West;2100-2500m;Grassland;35.33
2003;5;North;2500-2900m;Grassland;27.05
2003;5;East;2500-2900m;Grassland;24.43
2003;5;South;2500-2900m;Grassland;32.87
2003;5;West;2500-2900m;Grassland;30.71
2003;5;East;2900-3400m;Grassland;24.43
2003;5;West;2900-3400m;Grassland;24.15
2003;6;North;900-1300m;Cropland;47.80481625
2003;6;East;900-1300m;Cropland;47.03
2003;6;South;900-1300m;Cropland;47.86430976
2003;6;West;900-1300m;Cropland;47.76833333
2003;6;Flat;900-1300m;Cropland;43.6858133
2003;6;North;900-1300m;Barren_Sparse_Vegetation;48.73
2003;6;East;900-1300m;Barren_Sparse_Vegetation;47.72
2003;6;South;900-1300m;Barren_Sparse_Vegetation;51.19
2003;6;West;900-1300m;Barren_Sparse_Vegetation;49.35
2003;6;Flat;900-1300m;Barren_Sparse_Vegetation;48.32131638
2003;6;North;900-1300m;Grassland;48.45419718
2003;6;East;900-1300m;Grassland;47.294
2003;6;South;900-1300m;Grassland;48.655
2003;6;West;900-1300m;Grassland;49.521
2003;6;Flat;900-1300m;Grassland;48.30595732
2003;6;North;900-1300m;Shrubland_Savanna;46.9
2003;6;East;900-1300m;Shrubland_Savanna;46.64660904
2003;6;South;900-1300m;Shrubland_Savanna;47.73
2003;6;West;900-1300m;Shrubland_Savanna;45.86
2003;6;Flat;900-1300m;Shrubland_Savanna;46.34933333
2003;6;North;900-1300m;Urban;49.33
2003;6;South;900-1300m;Urban;48.48
2003;6;West;900-1300m;Urban;47.37
2003;6;Flat;900-1300m;Urban;44.8
2003;6;North;1300-1700m;Cropland;42.83
2003;6;East;1300-1700m;Cropland;38.57
2003;6;South;1300-1700m;Cropland;44.41
2003;6;West;1300-1700m;Cropland;44.75
2003;6;Flat;1300-1700m;Cropland;45.01
2003;6;North;1300-1700m;Grassland;44.15
2003;6;East;1300-1700m;Grassland;44.83
2003;6;South;1300-1700m;Grassland;45.91096774
2003;6;West;1300-1700m;Grassland;44.75168761
2003;6;Flat;1300-1700m;Grassland;46.79
2003;6;North;1300-1700m;Shrubland_Savanna;43.61
2003;6;East;1300-1700m;Shrubland_Savanna;44.85
2003;6;South;1300-1700m;Shrubland_Savanna;44.13
2003;6;West;1300-1700m;Shrubland_Savanna;45.11
2003;6;Flat;1300-1700m;Shrubland_Savanna;44.53
2003;6;North;1700-2100m;Cropland;34.03
2003;6;East;1700-2100m;Cropland;39.23
2003;6;West;1700-2100m;Cropland;38.92
2003;6;North;1700-2100m;Grassland;35.8
2003;6;East;1700-2100m;Grassland;38.82
2003;6;South;1700-2100m;Grassland;40.81
2003;6;West;1700-2100m;Grassland;39.96
2003;6;Flat;1700-2100m;Grassland;40.79
2003;6;North;2100-2500m;Grassland;34.15
2003;6;East;2100-2500m;Grassland;33.17
2003;6;South;2100-2500m;Grassland;39.95
2003;6;West;2100-2500m;Grassland;37.99
2003;6;North;2500-2900m;Grassland;33.33
2003;6;East;2500-2900m;Grassland;34.19
2003;6;South;2500-2900m;Grassland;38.15
2003;6;West;2500-2900m;Grassland;36.13
2003;6;East;2900-3400m;Grassland;34.19
2003;6;West;2900-3400m;Grassland;33.31
2003;6;Flat;2900-3400m;Grassland;35.05
2003;7;North;900-1300m;Cropland;48.97871795
2003;7;East;900-1300m;Cropland;48.23
2003;7;South;900-1300m;Cropland;49.17
2003;7;West;900-1300m;Cropland;49.14454545
2003;7;Flat;900-1300m;Cropland;45.8084531
2003;7;North;900-1300m;Barren_Sparse_Vegetation;49.43
2003;7;East;900-1300m;Barren_Sparse_Vegetation;48.22
2003;7;South;900-1300m;Barren_Sparse_Vegetation;51.43
2003;7;West;900-1300m;Barren_Sparse_Vegetation;50.13
2003;7;Flat;900-1300m;Barren_Sparse_Vegetation;48.44316506
2003;7;North;900-1300m;Grassland;49.546
2003;7;East;900-1300m;Grassland;48.85
2003;7;South;900-1300m;Grassland;49.60833333
2003;7;West;900-1300m;Grassland;50.03222222
2003;7;Flat;900-1300m;Grassland;48.81008785
2003;7;North;900-1300m;Shrubland_Savanna;49.035
2003;7;East;900-1300m;Shrubland_Savanna;48.79880829
2003;7;South;900-1300m;Shrubland_Savanna;49.89
2003;7;West;900-1300m;Shrubland_Savanna;47.63
2003;7;Flat;900-1300m;Shrubland_Savanna;48.1656603
2003;7;North;900-1300m;Urban;49.87
2003;7;South;900-1300m;Urban;49.72
2003;7;West;900-1300m;Urban;48.55
2003;7;Flat;900-1300m;Urban;45.5
2003;7;North;1300-1700m;Cropland;46.53
2003;7;East;1300-1700m;Cropland;39.32
2003;7;South;1300-1700m;Cropland;49.46
2003;7;West;1300-1700m;Cropland;49.03
2003;7;Flat;1300-1700m;Cropland;48.25
2003;7;North;1300-1700m;Grassland;47.15
2003;7;East;1300-1700m;Grassland;47.85
2003;7;South;1300-1700m;Grassland;49.7
2003;7;West;1300-1700m;Grassland;48.162
2003;7;Flat;1300-1700m;Grassland;49.13
2003;7;North;1300-1700m;Shrubland_Savanna;46.57
2003;7;East;1300-1700m;Shrubland_Savanna;47.07
2003;7;South;1300-1700m;Shrubland_Savanna;46.59
2003;7;West;1300-1700m;Shrubland_Savanna;47.96
2003;7;Flat;1300-1700m;Shrubland_Savanna;47.07
2003;7;North;1700-2100m;Cropland;37.38
2003;7;East;1700-2100m;Cropland;43.83
2003;7;West;1700-2100m;Cropland;45.21
2003;7;North;1700-2100m;Grassland;41.27
2003;7;East;1700-2100m;Grassland;43.23
2003;7;South;1700-2100m;Grassland;43.93
2003;7;West;1700-2100m;Grassland;43.59
2003;7;Flat;1700-2100m;Grassland;43.83
2003;7;North;2100-2500m;Grassland;39.59
2003;7;East;2100-2500m;Grassland;39.32
2003;7;South;2100-2500m;Grassland;42.37
2003;7;West;2100-2500m;Grassland;41.96
2003;7;North;2500-2900m;Grassland;37.74
2003;7;East;2500-2900m;Grassland;38.49
2003;7;South;2500-2900m;Grassland;39.55
2003;7;West;2500-2900m;Grassland;39.13
2003;7;East;2900-3400m;Grassland;37.92
2003;7;West;2900-3400m;Grassland;36.71
2003;8;North;900-1300m;Cropland;48.51
2003;8;East;900-1300m;Cropland;47.85
2003;8;South;900-1300m;Cropland;49.11125
2003;8;West;900-1300m;Cropland;48.858
2003;8;Flat;900-1300m;Cropland;45.94775039
2003;8;North;900-1300m;Barren_Sparse_Vegetation;49.07
2003;8;East;900-1300m;Barren_Sparse_Vegetation;47.47
2003;8;South;900-1300m;Barren_Sparse_Vegetation;49.77
2003;8;West;900-1300m;Barren_Sparse_Vegetation;49.57
2003;8;Flat;900-1300m;Barren_Sparse_Vegetation;47.42959357
2003;8;North;900-1300m;Grassland;48.7975
2003;8;East;900-1300m;Grassland;47.40548583
2003;8;South;900-1300m;Grassland;48.715
2003;8;West;900-1300m;Grassland;49.22125
2003;8;Flat;900-1300m;Grassland;47.93653085
2003;8;North;900-1300m;Shrubland_Savanna;46.76
2003;8;East;900-1300m;Shrubland_Savanna;46.55
2003;8;South;900-1300m;Shrubland_Savanna;47.35
2003;8;West;900-1300m;Shrubland_Savanna;46.94
2003;8;Flat;900-1300m;Shrubland_Savanna;46.8453696
2003;8;North;900-1300m;Urban;48.68
2003;8;South;900-1300m;Urban;49.31
2003;8;West;900-1300m;Urban;48.01
2003;8;Flat;900-1300m;Urban;44.88
2003;8;North;1300-1700m;Cropland;46.5
2003;8;East;1300-1700m;Cropland;42.56
2003;8;South;1300-1700m;Cropland;45.85
2003;8;West;1300-1700m;Cropland;45.42
2003;8;Flat;1300-1700m;Cropland;48.13
2003;8;North;1300-1700m;Grassland;45.39
2003;8;East;1300-1700m;Grassland;46.59
2003;8;South;1300-1700m;Grassland;47.07991903
2003;8;West;1300-1700m;Grassland;46.47666667
2003;8;Flat;1300-1700m;Grassland;45.95
2003;8;North;1300-1700m;Shrubland_Savanna;44.01
2003;8;East;1300-1700m;Shrubland_Savanna;44.92
2003;8;South;1300-1700m;Shrubland_Savanna;44.67
2003;8;West;1300-1700m;Shrubland_Savanna;43.85
2003;8;Flat;1300-1700m;Shrubland_Savanna;44.81
2003;8;North;1700-2100m;Cropland;38.17
2003;8;East;1700-2100m;Cropland;40.02
2003;8;West;1700-2100m;Cropland;40.95
2003;8;North;1700-2100m;Grassland;40.37
2003;8;East;1700-2100m;Grassland;42.37
2003;8;South;1700-2100m;Grassland;43.57
2003;8;West;1700-2100m;Grassland;42.69
2003;8;Flat;1700-2100m;Grassland;41.91
2003;8;North;2100-2500m;Grassland;38.66
2003;8;East;2100-2500m;Grassland;39.08
2003;8;South;2100-2500m;Grassland;42.91
2003;8;West;2100-2500m;Grassland;42.68
2003;8;North;2500-2900m;Grassland;36.98
2003;8;East;2500-2900m;Grassland;36.49
2003;8;South;2500-2900m;Grassland;40.13
2003;8;West;2500-2900m;Grassland;38.15
2003;8;East;2900-3400m;Grassland;34.59
2003;8;West;2900-3400m;Grassland;33.46
2003;8;Flat;2900-3400m;Grassland;32.47
2003;9;North;900-1300m;Cropland;41.82
2003;9;East;900-1300m;Cropland;41.19
2003;9;South;900-1300m;Cropland;42.6675
2003;9;West;900-1300m;Cropland;42.29
2003;9;Flat;900-1300m;Cropland;40.52840226
2003;9;North;900-1300m;Barren_Sparse_Vegetation;44.64
2003;9;East;900-1300m;Barren_Sparse_Vegetation;44.15
2003;9;South;900-1300m;Barren_Sparse_Vegetation;46.57
2003;9;West;900-1300m;Barren_Sparse_Vegetation;45.51
2003;9;Flat;900-1300m;Barren_Sparse_Vegetation;43.44049327
2003;9;North;900-1300m;Grassland;42.76333333
2003;9;East;900-1300m;Grassland;40.912
2003;9;South;900-1300m;Grassland;42.3
2003;9;West;900-1300m;Grassland;42.90384615
2003;9;Flat;900-1300m;Grassland;42.4375
2003;9;North;900-1300m;Shrubland_Savanna;40
2003;9;East;900-1300m;Shrubland_Savanna;40.385
2003;9;South;900-1300m;Shrubland_Savanna;41.71
2003;9;West;900-1300m;Shrubland_Savanna;40.47
2003;9;Flat;900-1300m;Shrubland_Savanna;41.09225058
2003;9;North;900-1300m;Urban;41.895
2003;9;South;900-1300m;Urban;42.55
2003;9;West;900-1300m;Urban;40.945
2003;9;Flat;900-1300m;Urban;39.7
2003;9;North;1300-1700m;Cropland;37.59
2003;9;East;1300-1700m;Cropland;34.83
2003;9;South;1300-1700m;Cropland;39.61
2003;9;West;1300-1700m;Cropland;39.41
2003;9;Flat;1300-1700m;Cropland;40.94
2003;9;North;1300-1700m;Grassland;37.74
2003;9;East;1300-1700m;Grassland;39.78
2003;9;South;1300-1700m;Grassland;41.42
2003;9;West;1300-1700m;Grassland;40
2003;9;Flat;1300-1700m;Grassland;37.79
2003;9;North;1300-1700m;Shrubland_Savanna;35.9
2003;9;East;1300-1700m;Shrubland_Savanna;37.41
2003;9;South;1300-1700m;Shrubland_Savanna;36.24
2003;9;West;1300-1700m;Shrubland_Savanna;36.71
2003;9;Flat;1300-1700m;Shrubland_Savanna;36.85
2003;9;North;1700-2100m;Cropland;29.67
2003;9;East;1700-2100m;Cropland;31.9
2003;9;West;1700-2100m;Cropland;34.39
2003;9;North;1700-2100m;Grassland;30.78
2003;9;East;1700-2100m;Grassland;36.45
2003;9;South;1700-2100m;Grassland;37.47
2003;9;West;1700-2100m;Grassland;36.09
2003;9;Flat;1700-2100m;Grassland;34.74
2003;9;North;2100-2500m;Grassland;28.57
2003;9;East;2100-2500m;Grassland;30.53
2003;9;South;2100-2500m;Grassland;35.43
2003;9;West;2100-2500m;Grassland;32.57
2003;9;North;2500-2900m;Grassland;27.15
2003;9;East;2500-2900m;Grassland;27.95
2003;9;South;2500-2900m;Grassland;36.63
2003;9;West;2500-2900m;Grassland;30.11
2003;9;East;2900-3400m;Grassland;27.43
2003;9;West;2900-3400m;Grassland;25.77
2003;10;North;900-1300m;Cropland;34.46
2003;10;East;900-1300m;Cropland;34.25
2003;10;South;900-1300m;Cropland;35.57
2003;10;West;900-1300m;Cropland;35.115
2003;10;Flat;900-1300m;Cropland;33.53176246
2003;10;North;900-1300m;Barren_Sparse_Vegetation;34.07
2003;10;East;900-1300m;Barren_Sparse_Vegetation;34.05
2003;10;South;900-1300m;Barren_Sparse_Vegetation;37.11
2003;10;West;900-1300m;Barren_Sparse_Vegetation;36.55
2003;10;Flat;900-1300m;Barren_Sparse_Vegetation;34.5670674
2003;10;North;900-1300m;Grassland;34.0375
2003;10;East;900-1300m;Grassland;33.15846154
2003;10;South;900-1300m;Grassland;34.76
2003;10;West;900-1300m;Grassland;35.26166667
2003;10;Flat;900-1300m;Grassland;34.21571016
2003;10;North;900-1300m;Shrubland_Savanna;32.41
2003;10;East;900-1300m;Shrubland_Savanna;32.93
2003;10;South;900-1300m;Shrubland_Savanna;33.54
2003;10;West;900-1300m;Shrubland_Savanna;33.05
2003;10;Flat;900-1300m;Shrubland_Savanna;33.34235849
2003;10;North;900-1300m;Urban;34.65
2003;10;South;900-1300m;Urban;37.02
2003;10;West;900-1300m;Urban;35.22
2003;10;Flat;900-1300m;Urban;32.31
2003;10;North;1300-1700m;Cropland;33.73
2003;10;East;1300-1700m;Cropland;26.78
2003;10;South;1300-1700m;Cropland;34.61
2003;10;West;1300-1700m;Cropland;33.57
2003;10;Flat;1300-1700m;Cropland;36.03
2003;10;North;1300-1700m;Grassland;29.99
2003;10;East;1300-1700m;Grassland;31.59
2003;10;South;1300-1700m;Grassland;35.0453
2003;10;West;1300-1700m;Grassland;32.405
2003;10;Flat;1300-1700m;Grassland;31.91
2003;10;North;1300-1700m;Shrubland_Savanna;28.69
2003;10;East;1300-1700m;Shrubland_Savanna;30.93
2003;10;South;1300-1700m;Shrubland_Savanna;31.65
2003;10;West;1300-1700m;Shrubland_Savanna;29.48
2003;10;Flat;1300-1700m;Shrubland_Savanna;31.13
2003;10;North;1700-2100m;Cropland;24.19
2003;10;East;1700-2100m;Cropland;28.39
2003;10;West;1700-2100m;Cropland;29.19
2003;10;North;1700-2100m;Grassland;25.53
2003;10;East;1700-2100m;Grassland;27.91
2003;10;South;1700-2100m;Grassland;31.55
2003;10;West;1700-2100m;Grassland;29.25
2003;10;Flat;1700-2100m;Grassland;26.52
2003;10;North;2100-2500m;Grassland;23.49
2003;10;East;2100-2500m;Grassland;22.82
2003;10;South;2100-2500m;Grassland;34.37
2003;10;West;2100-2500m;Grassland;30.39
2003;10;North;2500-2900m;Grassland;21.8
2003;10;East;2500-2900m;Grassland;17.47
2003;10;South;2500-2900m;Grassland;34.63
2003;10;West;2500-2900m;Grassland;24.4
2003;10;East;2900-3400m;Grassland;17.47
2003;10;West;2900-3400m;Grassland;17.32
2003;10;Flat;2900-3400m;Grassland;15.87
2003;11;North;900-1300m;Cropland;21.83
2003;11;East;900-1300m;Cropland;21.62
2003;11;South;900-1300m;Cropland;23.42497041
2003;11;West;900-1300m;Cropland;23.09181818
2003;11;Flat;900-1300m;Cropland;20.81539306
2003;11;North;900-1300m;Barren_Sparse_Vegetation;21.45
2003;11;East;900-1300m;Barren_Sparse_Vegetation;19.29
2003;11;South;900-1300m;Barren_Sparse_Vegetation;21.77
2003;11;West;900-1300m;Barren_Sparse_Vegetation;21.15
2003;11;Flat;900-1300m;Barren_Sparse_Vegetation;20.32076923
2003;11;North;900-1300m;Grassland;20.955
2003;11;East;900-1300m;Grassland;20.0425
2003;11;South;900-1300m;Grassland;21.73
2003;11;West;900-1300m;Grassland;21.70166667
2003;11;Flat;900-1300m;Grassland;20.06099835
2003;11;North;900-1300m;Shrubland_Savanna;20.185
2003;11;East;900-1300m;Shrubland_Savanna;20.325
2003;11;South;900-1300m;Shrubland_Savanna;19.42
2003;11;West;900-1300m;Shrubland_Savanna;19.62
2003;11;Flat;900-1300m;Shrubland_Savanna;20.40888889
2003;11;North;900-1300m;Urban;25.305
2003;11;South;900-1300m;Urban;22.82
2003;11;West;900-1300m;Urban;25.925
2003;11;Flat;900-1300m;Urban;23.29
2003;11;North;1300-1700m;Cropland;20.81
2003;11;East;1300-1700m;Cropland;21.87
2003;11;South;1300-1700m;Cropland;22.2
2003;11;West;1300-1700m;Cropland;21.99
2003;11;Flat;1300-1700m;Cropland;20.53
2003;11;North;1300-1700m;Grassland;22.11
2003;11;East;1300-1700m;Grassland;22.17
2003;11;South;1300-1700m;Grassland;23.77
2003;11;West;1300-1700m;Grassland;23.03666667
2003;11;Flat;1300-1700m;Grassland;20.49
2003;11;North;1300-1700m;Shrubland_Savanna;17.41
2003;11;East;1300-1700m;Shrubland_Savanna;18.49
2003;11;South;1300-1700m;Shrubland_Savanna;18.83
2003;11;West;1300-1700m;Shrubland_Savanna;15.9
2003;11;Flat;1300-1700m;Shrubland_Savanna;19.67
2003;11;North;1700-2100m;Cropland;19.89
2003;11;East;1700-2100m;Cropland;16.59
2003;11;West;1700-2100m;Cropland;15.58
2003;11;North;1700-2100m;Grassland;19.03
2003;11;East;1700-2100m;Grassland;23.15
2003;11;South;1700-2100m;Grassland;26.31
2003;11;West;1700-2100m;Grassland;21.09
2003;12;North;900-1300m;Cropland;12.61
2003;12;East;900-1300m;Cropland;12.27
2003;12;South;900-1300m;Cropland;13.915
2003;12;West;900-1300m;Cropland;14.20666667
2003;12;Flat;900-1300m;Cropland;12.67562252
2003;12;North;900-1300m;Barren_Sparse_Vegetation;14.05
2003;12;East;900-1300m;Barren_Sparse_Vegetation;13.94
2003;12;South;900-1300m;Barren_Sparse_Vegetation;15.91
2003;12;West;900-1300m;Barren_Sparse_Vegetation;15.37
2003;12;Flat;900-1300m;Barren_Sparse_Vegetation;14.28585399
2003;12;North;900-1300m;Grassland;14.05333333
2003;12;East;900-1300m;Grassland;13.21666667
2003;12;South;900-1300m;Grassland;13.53
2003;12;West;900-1300m;Grassland;14.10666667
2003;12;Flat;900-1300m;Grassland;14.35719478
2003;12;North;900-1300m;Shrubland_Savanna;11.88
2003;12;East;900-1300m;Shrubland_Savanna;12.23
2003;12;South;900-1300m;Shrubland_Savanna;12.55
2003;12;West;900-1300m;Shrubland_Savanna;13.55
2003;12;Flat;900-1300m;Shrubland_Savanna;13.27916667
2003;12;North;900-1300m;Urban;14.27
2003;12;South;900-1300m;Urban;14.89
2003;12;West;900-1300m;Urban;11.77
2003;12;Flat;900-1300m;Urban;12.125
2003;12;North;1300-1700m;Cropland;13.52
